Title,Food Insecurity,Child and Adult Care Food Program,Child and Adult Care Food Program,Head Start,Head Start,National School Lunch Program,National School Lunch Program,School Breakfast Program,SNAP Participation,SNAP Eligibility,SNAP Participation Children,SNAP Participation Children,SNAP Participation White,SNAP Participation African American,SNAP Participation Hispanic,Summer Food Service Program Participation,"Women, Infants, and Children","Women, Infants, and Children"
Policy,Child Food Insecurity,Child and Adult Care Food Program,Child and Adult Care Food Program,Head Start,Head Start,National School Lunch Program,National School Lunch Program,School Breakfast Program,Supplemental Nutrition Assistance Program,Supplemental Nutrition Assistance Program,Supplemental Nutrition Assistance Program,Supplemental Nutrition Assistance Program,Supplemental Nutrition Assistance Program,Supplemental Nutrition Assistance Program,Supplemental Nutrition Assistance Program,Summer Food Service Program,"Women, Infants, and Children","Women, Infants, and Children"
Explanatory Text,Percentage of children who are food insecure,Number of students participating,Total meals served annually,Number of children participating,Percentage of eligible children participating,Number of children participating,Percentage of students eligible for free/reduced-price lunch,Number of students participating,Number of residents participating,Percentage of eligible residents participating,Number of participating residents who are children,Percentage of participants who are children,Percentage of participating households where the head of household is White,Percentage of participating households where the head of household is African-American,Percentage of participating households where the head of household is Hispanic,Number of students participating,Number of residents participating,Percentage of eligible residents participating
Source,Feeding America,USDA,USDA,NHSA,NHSA,USDA,NCES,USDA,USDA,USDA,USDA,USDA,USDA,USDA,USDA,USDA,USDA,USDA
Title,Child Food Insecurity in the United States,Child and Adult Care Food Prgram: Average Daily Attendance,Child and Adult Care Food Program: Total Meals Served,2020 Head Start Fact Sheet,2020 Head Start Fact Sheet,National School Lunch Program: Total Participation,"Number and percentage of public school students eligible for free or reduced-price lunch, by state: Selected years, 2000-01 through 2016-17",School Breakfast Program: Total Participation,Supplemental Nutrition Assistance Program: Number of Persons Participating,Reaching Those in Need: Estimates of State Supplemental Nutrition Assistance Program Participation Rates in 2016,Characteristics of Supplemental Nutrition Assistance Program Households: Fiscal Year 2018,Characteristics of Supplemental Nutrition Assistance Program Households: Fiscal Year 2018,Characteristics of Supplemental Nutrition Assistance Program Households: Fiscal Year 2018,Characteristics of Supplemental Nutrition Assistance Program Households: Fiscal Year 2018,Characteristics of Supplemental Nutrition Assistance Program Households: Fiscal Year 2018,Summer Food Service Program: Average Daily Attendance,WIC PROGRAM: TOTAL PARTICIPATION,National and State Level Estimates of WIC Eligibility and WIC Program Reach in 2016
Year/Month,2018,FY 2019,FY 2019,2020,2020,FY 2019,2016-17,FY 2019,Spring 2020,2016,FY 2018,FY 2018,FY 2018,FY 2018,FY 2018,FY 2019,FY 2019,2016
Link,https://map.feedingamerica.org/county/2018/child,https://fns-prod.azureedge.net/sites/default/files/resource-files/12ccfypart-1.pdf,https://fns-prod.azureedge.net/sites/default/files/resource-files/13ccmeals-1.pdf,https://nhsa.app.box.com/s/ln2yxypq1ux2v5hw8bpn6l7auzstrmir?page=1,https://nhsa.app.box.com/s/ln2yxypq1ux2v5hw8bpn6l7auzstrmir?page=1,https://fns-prod.azureedge.net/sites/default/files/resource-files/01slfypart-1.pdf,https://nces.ed.gov/programs/digest/d18/tables/dt18_204.10.asp?current=yes,https://fns-prod.azureedge.net/sites/default/files/resource-files/08sbfypart-1.pdf,https://fns-prod.azureedge.net/sites/default/files/resource-files/29SNAPcurrPP-1.pdf,https://fns-prod.azureedge.net/sites/default/files/resource-files/Reaching2016.pdf,https://fns-prod.azureedge.net/sites/default/files/resource-files/Characteristics2018.pdf,https://fns-prod.azureedge.net/sites/default/files/resource-files/Characteristics2018.pdf,https://fns-prod.azureedge.net/sites/default/files/resource-files/Characteristics2018.pdf,https://fns-prod.azureedge.net/sites/default/files/resource-files/Characteristics2018.pdf,https://fns-prod.azureedge.net/sites/default/files/resource-files/Characteristics2018.pdf,https://fns-prod.azureedge.net/sites/default/files/resource-files/04sffypart-1.pdf,https://fns-prod.azureedge.net/sites/default/files/resource-files/26wifypart-1.pdf,https://fns-prod.azureedge.net/sites/default/files/ops/WICEligibles2016-Volume1.pdf
National,12%,"4,794,887","2,050,212,144","614,858",36%,"29,551,990",52.30%,"14,769,987","36,804,239",85%,"17,103,000",43.60%,39.10%,24.20%,11.80%,"2,687,066","6,396,441",54.50%
State Min,7%,"6,865","3,633,995",965,15%,"47,209",27.30%,"17,303","25,797",56%,"13,000",32.40%,1.40%,0.60%,0.10%,"3,522","7,961",38.20%
State Max,19%,"790,785","231,023,728","68,997",100.00%,"3,361,772",76.40%,"1,937,618","4,031,056",100%,"2,035,000",54.20%,92.40%,92.90%,34.40%,"432,707","928,943",68.30%
State,,,,,,,,,,,,,,,,,,
